Location,Latitude,Longitude
Ahilyanagar,19.092952,74.7493451
Akola,20.76181225,77.19211567
Amravati,21.15454115,77.64429618
Chhatrapati SambhajiNagar,19.877263,75.3390241
Beed,18.9918442,75.909784
Mumbai,19.054999,72.8692035
Buldhana,20.562845,76.40869861
Chandrapur,20.0967555,79.50454752
Dhule,21.1305215,74.49006143
Gondia,21.455228,80.1962729
Hingoli,19.54311635,77.17394324
Jalgaon,20.84288265,75.52612464
Jalna,19.91883295,75.87085986
Latur,18.35533475,76.75489974
Ambajogai,18.7318232,76.3854836
Nagpur,21.1498134,79.0820556
Nanded,19.09400875,77.48319215
Nandurbar,21.51416215,74.54055133
Nashik,20.0112475,73.7902364
Dharashiv,18.16984395,76.11796321
Parbhani,19.29019805,76.60264434
Pune,18.5213738,73.8545071
Ratnagiri,17.2826079,73.4569787
Sangli,17.1726928,74.58676543
Satara,17.63612885,74.29827808
Thane,19.1943294,72.9701779
Wardha & dist.,,
Yavatmal,20.0638677,78.3565663
Gadchiroli,19.75907035,80.16228073
Bhandara,21.1225869,79.79450899
Washim,20.28741775,77.2369655
Palghar,19.757249,73.09311986
Raigad,18.4928092,73.13807095
Sindhudurg,16.1357193,73.6522086
Solapur,17.84990665,75.27632027
Kolhapur,16.7028412,74.2405329
