Location,Latitude,Longitude
Ahilyanagar,19° 05' N,74° 48' E
Akola,20° 42' N,77° 02' E
Amravati,20° 56' N,77° 48' E
Chhatrapati SambhajiNagar,19° 53' N,75° 23' E
Beed,19° 00' N,75° 50' E
Mumbai,18° 55' N,72° 54' E
Buldhana,20° 32' N,76° 14' E
Chandrapur,19° 57' N,79° 21' E
Dhule,20° 58' N,74° 47' E
Gondia,21° 28' N,80° 29' E
Hingoli,19° 43' N,77° 11' E
Jalgaon,21° 05' N,75° 40' E
Jalna,19° 51' N,75° 56' E
Latur,18° 24' N,76° 36' E
Ambajogai,18° 44' N,76° 23' E
Nagpur,21° 09' N,79° 09' E
Nanded,19° 09' N,77° 27' E
Nandurbar,21° 23' N,74° 19' E
Nashik,20° 02' N,73° 50' E
Dharashiv,18° 08' N,76° 06' E
Parbhani,19° 08' N,76° 5' E
Pune,18° 31' N,73° 55' E
Ratnagiri,17° 08' N,73° 19' E
Sangli,16° 52' N,74° 36' E
Satara,17° 42' N,74° 02' E
Thane,19° 12' N,73° 02' E
Wardha & dist.,20° 45' N,78° 39' E
Yavatmal,20° 23' N,78° 11' E
Gadchiroli,20° 11' N,79° 59' E
Bhandara,21° 10' N ,79° 39' E
Washim,20° 06' N,77° 09' E
Palghar,19° 41' N,72° 45' E 
Raigad,18° 30' N,73° 00' E
Sindhudurg,16° 10' N   ,73° 42' E  
Solapur,17° 39' N,75° 54' E
Kolhapur,16° 41' N ,74° 14' E 
